role,path,sha256
source,external_source\llm_independent_claude_rep_01.csv,cd15e94776dae2ad9c58d98b87f5b6878207e79f79e11cb7f1830515edcc4a1a
public_stream,data\public\claude_rep_01_public.csv,fc8c6ad2691ba8288af63a2397bce9d54e210447c956b979867d351b9c9bf7c8
source,external_source\llm_independent_claude_rep_02.csv,d8f7651a7bdc9e403a2acc328a11aedcae5ce5d26dd0dab2454513d5235431ea
public_stream,data\public\claude_rep_02_public.csv,eec679a64cd3d366589239c0f3b49b80509f193389adabc770c22a81b68734e0
source,external_source\llm_independent_claude_rep_03.csv,a77ebe8b2b5a8c3591c400aa71b32bb599f61b0af6da3c6362ee6bdc1e02d8e8
public_stream,data\public\claude_rep_03_public.csv,93fc64f81cefbf60a7bf2ec198d8657e3ab176d11c1549cce11f3381c1bee71f
source,external_source\llm_independent_claude_rep_04.csv,33339c2458a1fa8fe18ef299b069b164f7ff2f1197346a3ab9c3955a2ab08a87
public_stream,data\public\claude_rep_04_public.csv,cd99bf49f474727de8d394bd8a0de132e93efefb3615347217a88e52d359a151
source,external_source\llm_independent_claude_rep_05.csv,773039843e483f5870a42cef9657a8e084efa1218e6d70cd66f4a73f42de0f88
public_stream,data\public\claude_rep_05_public.csv,359caf2cdb1ced881a2922ae28a27d555904f652aa80667baed2763f2a8e9531
source,external_source\llm_independent_claude_rep_06.csv,a48b04c5dc47e0e6fe0d3cda70fec48250516f09946e8fc0e9b1b4a089e3f2ee
public_stream,data\public\claude_rep_06_public.csv,78df0bbd6e92f9e247960147c4577cdf9e5768b41bee67a0e1ef0a37fd521812
source,external_source\llm_independent_claude_rep_07.csv,8b4848cedd83934c047249d7b7372c01c79aedddb54c8b3cc497010198763d19
public_stream,data\public\claude_rep_07_public.csv,ebdcf025eaa0164bf2b7689b38b30c790e52ef3ea66d3ac879e9f0b6038e85f4
source,external_source\llm_independent_claude_rep_08.csv,3ee264887fca7ad34ed230e984bce214d51116330acb5d187237740c6984c4c3
public_stream,data\public\claude_rep_08_public.csv,b586d1118062a0a01fd83c2934b45b6980d5f35080ecdffa72c3e433e8ced24e
source,external_source\llm_independent_claude_rep_09.csv,e8f68e1179618b9b1da6e62bb4f254facdd217ec0ef1078c4d87fcf539dacf57
public_stream,data\public\claude_rep_09_public.csv,c7ff5057ae89495ab3bcd516fbbfa771a12b59206cf3c57c3f8978902ba823ef
source,external_source\llm_independent_claude_rep_10.csv,c25139244e71ac670c13b57641e8be5130053f495a9e6c6161479d90abd77767
public_stream,data\public\claude_rep_10_public.csv,f16493fea8c5a4b08b810eecc461c17e178a6e621a450625df59de07a5963658
source,external_source\llm_independent_claude_rep_11.csv,170a20df2e500692e61bb731339790ce48880016ed50b9b883e424382eede230
public_stream,data\public\claude_rep_11_public.csv,0e4ef6f82f473b14a357f43eed2c556e4ebf435610c8d5eceee22a986a940015
source,external_source\llm_independent_claude_rep_12.csv,722444a78284caf7776a1d1fc66cb4ba312a68b7adf39413ae73cf91f039d0ac
public_stream,data\public\claude_rep_12_public.csv,597e5a757d5bc12e816e88a199f2400cb70510dfdefc5be09976e8c4cbeb6996
source,external_source\llm_independent_claude_rep_13.csv,71654fe445a9e312aa581e0422dfed9e7d086410df91cce30c8196ec707c4a71
public_stream,data\public\claude_rep_13_public.csv,83c53ab973b3a10189afce7a634655593f168e2e396a98070130bf4d6849cfc9
source,external_source\llm_independent_claude_rep_14.csv,21b58ed2d81ef79d62c9b209d1a43e97b0d0243df7f140061850458e9cc40f8a
