rep,trial_number,attempt_id,status
70,1,r70t01a1,ok
70,2,r70t02a1,ok
70,3,r70t03a1,ok
70,4,r70t04a1,ok
70,5,r70t05a1,ok
70,6,r70t06a1,ok
70,7,r70t07a1,ok
70,8,r70t08a1,ok
70,9,r70t09a1,ok
70,10,r70t10a1,ok
70,11,r70t11a1,ok
70,12,r70t12a1,ok
70,13,r70t13a1,ok
70,14,r70t14a1,ok
70,15,r70t15a1,ok
70,16,r70t16a1,ok
70,17,r70t17a1,ok
70,18,r70t18a1,ok
70,19,r70t19a1,ok
70,20,r70t20a1,ok
70,21,r70t21a1,ok
70,22,r70t22a1,ok
70,23,r70t23a1,ok
70,24,r70t24a1,ok
70,25,r70t25a1,ok
70,26,r70t26a1,ok
70,27,r70t27a1,ok
70,28,r70t28a1,ok
70,29,r70t29a1,ok
70,30,r70t30a1,ok
70,31,r70t31a1,ok
70,32,r70t32a1,ok
70,33,r70t33a1,ok
70,34,r70t34a1,ok
70,35,r70t35a1,ok
70,36,r70t36a1,ok
