rep,trial_number,attempt_id,status
147,1,r147t01a1,ok
147,2,r147t02a1,ok
147,3,r147t03a1,ok
147,4,r147t04a1,ok
147,5,r147t05a1,ok
147,6,r147t06a1,ok
147,7,r147t07a1,ok
147,8,r147t08a1,ok
147,9,r147t09a1,ok
147,10,r147t10a1,ok
147,11,r147t11a1,ok
147,12,r147t12a1,ok
147,13,r147t13a1,ok
147,14,r147t14a1,ok
147,15,r147t15a1,ok
147,16,r147t16a1,ok
147,17,r147t17a1,ok
147,18,r147t18a1,ok
147,19,r147t19a1,ok
147,20,r147t20a1,ok
147,21,r147t21a1,ok
147,22,r147t22a1,ok
147,23,r147t23a1,ok
147,24,r147t24a1,ok
147,25,r147t25a1,ok
147,26,r147t26a1,ok
147,27,r147t27a1,ok
147,28,r147t28a1,ok
147,29,r147t29a1,ok
147,30,r147t30a1,ok
147,31,r147t31a1,ok
147,32,r147t32a1,ok
147,33,r147t33a1,ok
147,34,r147t34a1,ok
147,35,r147t35a1,ok
147,36,r147t36a1,ok
