rep,trial_number,attempt_id,status
243,1,r243t01a1,ok
243,2,r243t02a1,ok
243,3,r243t03a1,ok
243,4,r243t04a1,ok
243,5,r243t05a1,ok
243,6,r243t06a1,ok
243,7,r243t07a1,ok
243,8,r243t08a1,ok
243,9,r243t09a1,ok
243,10,r243t10a1,ok
243,11,r243t11a1,ok
243,12,r243t12a1,ok
243,13,r243t13a1,ok
243,14,r243t14a1,ok
243,15,r243t15a1,ok
243,16,r243t16a1,ok
243,17,r243t17a1,ok
243,18,r243t18a1,ok
243,19,r243t19a1,ok
243,20,r243t20a1,ok
243,21,r243t21a1,ok
243,22,r243t22a1,ok
243,23,r243t23a1,ok
243,24,r243t24a1,ok
243,25,r243t25a1,ok
243,26,r243t26a1,ok
243,27,r243t27a1,ok
243,28,r243t28a1,ok
243,29,r243t29a1,ok
243,30,r243t30a1,ok
243,31,r243t31a1,ok
243,32,r243t32a1,ok
243,33,r243t33a1,ok
243,34,r243t34a1,ok
243,35,r243t35a1,ok
243,36,r243t36a1,ok
