rep,trial_number,attempt_id,status
2,1,r02t01a1,ok
2,2,r02t02a1,ok
2,3,r02t03a1,ok
2,4,r02t04a1,ok
2,5,r02t05a1,ok
2,6,r02t06a1,ok
2,7,r02t07a1,ok
2,8,r02t08a1,ok
2,9,r02t09a1,ok
2,10,r02t10a1,ok
2,11,r02t11a1,ok
2,12,r02t12a1,ok
2,13,r02t13a1,ok
2,14,r02t14a1,ok
2,15,r02t15a1,ok
2,16,r02t16a1,ok
2,17,r02t17a1,ok
2,18,r02t18a1,ok
2,19,r02t19a1,ok
2,20,r02t20a1,ok
2,21,r02t21a1,ok
2,22,r02t22a1,ok
2,23,r02t23a1,ok
2,24,r02t24a1,ok
2,25,r02t25a1,ok
2,26,r02t26a1,ok
2,27,r02t27a1,ok
2,28,r02t28a1,ok
2,29,r02t29a1,ok
2,30,r02t30a1,ok
2,31,r02t31a1,ok
2,32,r02t32a1,ok
2,33,r02t33a1,ok
2,34,r02t34a1,ok
2,35,r02t35a1,ok
2,36,r02t36a1,ok
