rep,trial_number,attempt_id,status
1,1,r01t01a1,ok
1,2,r01t02a1,ok
1,3,r01t03a1,ok
1,4,r01t04a1,ok
1,5,r01t05a1,ok
1,6,r01t06a1,ok
1,7,r01t07a1,ok
1,8,r01t08a1,ok
1,9,r01t09a1,ok
1,10,r01t10a1,ok
1,11,r01t11a1,ok
1,12,r01t12a1,ok
1,13,r01t13a1,ok
1,14,r01t14a1,ok
1,15,r01t15a1,ok
1,16,r01t16a1,ok
1,17,r01t17a1,ok
1,18,r01t18a1,ok
1,19,r01t19a1,ok
1,20,r01t20a1,ok
1,21,r01t21a1,ok
1,22,r01t22a1,ok
1,23,r01t23a1,ok
1,24,r01t24a1,ok
1,25,r01t25a1,ok
1,26,r01t26a1,ok
1,27,r01t27a1,ok
1,28,r01t28a1,ok
1,29,r01t29a1,ok
1,30,r01t30a1,ok
1,31,r01t31a1,ok
1,32,r01t32a1,ok
1,33,r01t33a1,ok
1,34,r01t34a1,ok
1,35,r01t35a1,ok
1,36,r01t36a1,ok
