decay,switch_margin,wait_threshold,mean_accuracy,mean_prev_rule_error,mean_interventions,max_interventions
0.5,0.0,1,0.5523,8.5667,9.0,9.0
0.5,0.0,2,0.5102,10.55,9.0,9.0
0.5,0.0,3,0.4648,12.6333,9.0,9.0
0.5,0.5,1,0.5106,10.55,9.0,9.0
0.5,0.5,2,0.5102,10.55,9.0,9.0
0.5,0.5,3,0.4648,12.6333,9.0,9.0
0.5,1.0,1,0.5102,10.55,9.0,9.0
0.5,1.0,2,0.5102,10.55,9.0,9.0
0.5,1.0,3,0.4648,12.6333,9.0,9.0
0.5,2.0,1,0.3356,12.0667,5.15,9.0
0.5,2.0,2,0.3356,12.0667,5.15,9.0
0.5,2.0,3,0.3356,12.0667,5.15,9.0
0.7,0.0,1,0.5106,10.55,9.0,9.0
0.7,0.0,2,0.5102,10.55,9.0,9.0
0.7,0.0,3,0.4648,12.6333,9.0,9.0
0.7,0.5,1,0.494,11.6167,9.0,9.0
0.7,0.5,2,0.4935,11.6167,9.0,9.0
0.7,0.5,3,0.4648,12.6333,9.0,9.0
0.7,1.0,1,0.4657,12.6167,9.0,9.0
0.7,1.0,2,0.4657,12.6167,9.0,9.0
0.7,1.0,3,0.4648,12.6333,9.0,9.0
0.7,2.0,1,0.3796,16.5167,9.0,9.0
0.7,2.0,2,0.3796,16.5167,9.0,9.0
0.7,2.0,3,0.3796,16.5167,9.0,9.0
0.9,0.0,1,0.4671,13.0,9.0,9.0
0.9,0.0,2,0.4667,13.0,9.0,9.0
0.9,0.0,3,0.4403,13.9667,9.0,9.0
0.9,0.5,1,0.4343,14.5,9.0,9.0
0.9,0.5,2,0.4338,14.5,9.0,9.0
0.9,0.5,3,0.4097,15.3667,9.0,9.0
0.9,1.0,1,0.4329,14.5833,9.0,9.0
0.9,1.0,2,0.4329,14.5833,9.0,9.0
0.9,1.0,3,0.4079,15.4833,9.0,9.0
0.9,2.0,1,0.3653,17.1,9.0,9.0
0.9,2.0,2,0.3653,17.1,9.0,9.0
0.9,2.0,3,0.3653,17.1,9.0,9.0
1.0,0.0,1,0.4185,15.2,9.0,9.0
1.0,0.0,2,0.3931,16.1,9.0,9.0
1.0,0.0,3,0.3653,17.1,9.0,9.0
1.0,0.5,1,0.4185,15.2,9.0,9.0
1.0,0.5,2,0.3931,16.1,9.0,9.0
1.0,0.5,3,0.3653,17.1,9.0,9.0
1.0,1.0,1,0.3444,17.0167,9.0,9.0
1.0,1.0,2,0.3444,17.0167,9.0,9.0
1.0,1.0,3,0.3194,17.9,9.0,9.0
1.0,2.0,1,0.2718,18.7,9.0,9.0
1.0,2.0,2,0.2718,18.7,9.0,9.0
1.0,2.0,3,0.2718,18.7,9.0,9.0
