model,condition,n_reps,n_trials,n_parseable,parseable_rate,accuracy,choice_entropy_bits,normalized_choice_entropy,effective_choice_count,max_choice_share,target_mi_bits,target_mi_bias_corrected_bits,normalized_target_mi,balanced_target_accuracy,target_accuracy_range,switch_rate_on_shift,switch_rate_without_shift,shift_switch_lift,change_after_error,change_after_correct,feedback_change_lift,shift_trial_accuracy,early_post_shift_accuracy,early_post_shift_gain,late_block_accuracy,post_shift_trial2_switch_rate,intervention_rate,corrective_overrides,harmful_overrides,net_correction_per_intervention,choice_js_from_raw_bits
claude-opus-4-8,RawLLM,130,4680,4680,1.0,0.332692,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337368,0.337368,0.0,0.336463,0.0,0.0,0,0,,0.0
claude-opus-4-8,RuleBlindFull,130,4680,4680,1.0,0.456838,0.912158,0.575507,1.881858,0.779487,0.120911,0.120295,0.075901,0.457171,0.806806,0.214826,0.336848,-0.122021,0.421672,0.197987,0.223686,0.308623,0.559758,0.251135,0.472613,0.444781,0.220513,609,28,0.562984,0.120137
claude-opus-4-8,NoVeto,130,4680,4680,1.0,0.366239,0.605527,0.382045,1.521535,0.885043,0.072828,0.072211,0.045563,0.366652,0.963071,0.025719,0.270764,-0.245045,0.314325,0.099164,0.215162,0.323752,0.427383,0.103631,0.337507,0.093797,0.114957,166,9,0.291822,0.060009
claude-opus-4-8,TrajectoryOnly,130,4680,4680,1.0,0.326709,0.816689,0.515273,1.761359,0.833333,0.000842,0.000225,0.000142,0.327205,0.752653,0.524962,0.278478,0.246484,0.317647,0.307383,0.010265,0.331316,0.333585,0.002269,0.328117,0.344932,0.166667,240,268,-0.035897,0.088806
claude-opus-4-8,YokedRandom,130,4680,4680,1.0,0.432265,0.958171,0.604539,1.942846,0.779487,0.11356,0.112944,0.071263,0.432828,0.827782,0.214826,0.360504,-0.145678,0.441987,0.205271,0.236716,0.316188,0.517398,0.20121,0.436098,0.444781,0.220513,494,28,0.45155,0.120137
claude-opus-4-8,WSLSBudgeted,130,4680,4680,1.0,0.491239,0.942565,0.594692,1.921943,0.770513,0.157063,0.156446,0.098712,0.491324,0.715078,0.013616,0.141425,-0.127809,0.197128,0.047069,0.150059,0.249622,0.570348,0.320726,0.593114,0.449319,0.229487,833,91,0.690875,0.125502
claude-opus-4-8,WSLSUnlimited,130,4680,4680,1.0,0.61688,1.273545,0.803518,2.417549,0.578205,0.309451,0.308834,0.194863,0.616865,0.40759,0.0,0.189509,-0.189509,0.411502,0.0,0.411502,0.134644,0.677761,0.543116,0.865415,0.733737,0.422863,1534,204,0.672057,0.252829
claude-opus-4-8,OracleFull,130,4680,4680,1.0,0.621795,1.108801,0.699575,2.156663,0.710897,0.497929,0.497313,0.313786,0.62216,0.567004,0.683812,0.36359,0.320223,0.424561,0.401408,0.023153,0.792738,0.747352,-0.045386,0.524257,0.214826,0.289103,1353,0,1.0,0.162256
claude-sonnet-5,RawLLM,130,4680,4656,0.994872,0.330556,0.037692,0.023781,1.02647,0.994212,0.000642,2.2e-05,1.4e-05,0.331202,0.988449,0.019667,0.022371,-0.002704,0.025304,0.015262,0.010042,0.334342,0.334342,0.0,0.332812,0.022693,0.0,0,0,,0.0
claude-sonnet-5,RuleBlindFull,130,4680,4656,0.994872,0.455556,0.933589,0.589029,1.910021,0.772757,0.118553,0.117933,0.074412,0.455883,0.791994,0.240545,0.35099,-0.110445,0.439676,0.210577,0.229099,0.305598,0.550681,0.245083,0.4747,0.458396,0.220299,613,28,0.56741,0.109684
claude-sonnet-5,NoVeto,130,4680,4656,0.994872,0.364103,0.629309,0.39705,1.546824,0.878866,0.070687,0.070067,0.04421,0.364499,0.950855,0.04236,0.288506,-0.246146,0.33368,0.11238,0.2213,0.320726,0.419062,0.098336,0.336985,0.1059,0.115171,167,10,0.29128,0.05211
claude-sonnet-5,TrajectoryOnly,130,4680,4656,0.994872,0.324145,0.805329,0.508106,1.747544,0.836423,0.001295,0.000676,0.000426,0.324626,0.755194,0.502269,0.29262,0.209649,0.329205,0.310391,0.018813,0.334342,0.332829,-0.001513,0.321857,0.355522,0.157051,221,251,-0.040816,0.073692
claude-sonnet-5,YokedRandom,130,4680,4656,0.994872,0.428846,0.97601,0.615794,1.967017,0.772757,0.110544,0.109924,0.069358,0.429427,0.819392,0.242057,0.373875,-0.131818,0.46047,0.214614,0.245856,0.313162,0.512103,0.198941,0.430882,0.458396,0.220299,488,28,0.446169,0.109071
claude-sonnet-5,WSLSBudgeted,130,4680,4656,0.994872,0.491667,0.961794,0.606825,1.947731,0.764514,0.157257,0.156637,0.098832,0.491782,0.70151,0.034796,0.157881,-0.123085,0.222658,0.055876,0.166782,0.249622,0.570348,0.320726,0.588941,0.464448,0.23141,842,88,0.696214,0.114504
claude-sonnet-5,WSLSUnlimited,130,4680,4656,0.994872,0.621368,1.295557,0.817405,2.454717,0.566346,0.317525,0.316905,0.199955,0.62139,0.380435,0.007564,0.205451,-0.197887,0.448588,0.003597,0.44499,0.12708,0.68003,0.55295,0.872196,0.753404,0.433547,1571,210,0.670774,0.244628
claude-sonnet-5,OracleFull,130,4680,4656,0.994872,0.615171,1.110364,0.700561,2.159001,0.709867,0.473626,0.473006,0.298449,0.615564,0.566862,0.67171,0.374389,0.29732,0.437105,0.405482,0.031623,0.785174,0.742814,-0.04236,0.515389,0.229955,0.284615,1332,0,1.0,0.146761
gpt-5.5-2026-04-23,RawLLM,130,4680,4680,1.0,0.330556,0.597348,0.376884,1.512932,0.868162,0.000421,0.0,0.0,0.331455,0.841064,0.242057,0.230393,0.011664,0.234888,0.226428,0.008461,0.3177,0.334342,0.016641,0.335942,0.246596,0.0,0,0,,0.0
gpt-5.5-2026-04-23,RuleBlindFull,130,4680,4680,1.0,0.455769,1.184544,0.747364,2.272915,0.675,0.073596,0.07298,0.046048,0.456312,0.608877,0.413011,0.463872,-0.050862,0.570388,0.320982,0.249407,0.269289,0.530257,0.260968,0.491393,0.614221,0.220085,641,55,0.568932,0.053035
gpt-5.5-2026-04-23,NoVeto,130,4680,4680,1.0,0.377778,0.961228,0.606467,1.946966,0.768376,0.024692,0.024075,0.01519,0.378459,0.752589,0.276853,0.41296,-0.136106,0.460777,0.281977,0.178801,0.293495,0.389561,0.096067,0.389671,0.282905,0.12265,256,35,0.385017,0.020734
gpt-5.5-2026-04-23,TrajectoryOnly,130,4680,4680,1.0,0.332265,0.958243,0.604584,1.942942,0.777778,6.4e-05,0.0,0.0,0.332959,0.694941,0.456884,0.389817,0.067066,0.404283,0.390099,0.014184,0.326778,0.336611,0.009834,0.334898,0.444781,0.090385,143,135,0.018913,0.01749
gpt-5.5-2026-04-23,YokedRandom,130,4680,4680,1.0,0.42265,1.193198,0.752824,2.286591,0.677778,0.054147,0.05353,0.033776,0.42341,0.67584,0.420575,0.483158,-0.062583,0.574265,0.338167,0.236098,0.291982,0.497731,0.205749,0.43036,0.602118,0.220085,486,55,0.418447,0.048758
gpt-5.5-2026-04-23,WSLSBudgeted,130,4680,4680,1.0,0.49188,1.148954,0.724909,2.21753,0.686966,0.12131,0.120693,0.076153,0.492403,0.560887,0.142209,0.253021,-0.110813,0.373909,0.097874,0.276035,0.199697,0.530257,0.33056,0.581116,0.562784,0.245085,879,124,0.658239,0.048102
gpt-5.5-2026-04-23,WSLSUnlimited,130,4680,4680,1.0,0.677564,1.441526,0.909501,2.716079,0.489744,0.381293,0.380676,0.240193,0.677773,0.211964,0.022693,0.249679,-0.226986,0.653413,0.0,0.653413,0.057489,0.723147,0.665658,0.950443,0.88351,0.519872,1884,260,0.667489,0.161786
gpt-5.5-2026-04-23,OracleFull,130,4680,4680,1.0,0.581838,1.248646,0.787808,2.376183,0.645726,0.293584,0.292968,0.184852,0.582492,0.503331,0.70348,0.447673,0.255807,0.534392,0.449624,0.084767,0.768533,0.714826,-0.053707,0.4747,0.290469,0.251282,1176,0,1.0,0.060711
gpt-5.4-mini-2026-03-17,RawLLM,130,4680,4680,1.0,0.327137,1.071057,0.675762,2.100972,0.574145,0.001516,0.0009,0.000568,0.329089,0.531464,0.526475,0.510414,0.016061,0.513549,0.511096,0.002453,0.325265,0.329047,0.003782,0.324987,0.503782,0.0,0,0,,0.0
gpt-5.4-mini-2026-03-17,RuleBlindFull,130,4680,4680,1.0,0.443162,1.412488,0.891181,2.661959,0.493376,0.05161,0.050994,0.032175,0.444301,0.340003,0.535552,0.589355,-0.053802,0.688066,0.447041,0.241025,0.263238,0.465204,0.201967,0.491393,0.715582,0.217735,645,102,0.532875,0.03929
gpt-5.4-mini-2026-03-17,NoVeto,130,4680,4680,1.0,0.377991,1.252852,0.790461,2.38312,0.548504,0.011247,0.01063,0.006707,0.37969,0.482096,0.529501,0.553613,-0.024112,0.609062,0.451556,0.157506,0.266263,0.329047,0.062784,0.425143,0.517398,0.139103,345,107,0.365591,0.012256
gpt-5.4-mini-2026-03-17,TrajectoryOnly,130,4680,4680,1.0,0.326923,1.130345,0.713168,2.189111,0.562821,0.000742,0.000125,7.9e-05,0.32881,0.509168,0.541604,0.531756,0.009847,0.534747,0.529966,0.004781,0.32829,0.325265,-0.003026,0.325509,0.526475,0.012821,18,19,-0.016667,0.001074
gpt-5.4-mini-2026-03-17,YokedRandom,130,4680,4680,1.0,0.399359,1.385186,0.873955,2.612057,0.5,0.018354,0.017738,0.011192,0.40079,0.407976,0.582451,0.597326,-0.014875,0.658501,0.499725,0.158776,0.30711,0.425113,0.118003,0.420449,0.674735,0.217735,440,102,0.331698,0.03194
gpt-5.4-mini-2026-03-17,WSLSBudgeted,130,4680,4680,1.0,0.496154,1.362989,0.859951,2.572176,0.523291,0.1064,0.105784,0.066746,0.497547,0.376325,0.293495,0.410903,-0.117408,0.591109,0.197103,0.394006,0.2118,0.509834,0.298033,0.557642,0.6823,0.25,917,126,0.676068,0.032959
gpt-5.4-mini-2026-03-17,WSLSUnlimited,130,4680,4680,1.0,0.721581,1.496775,0.94436,2.822111,0.446795,0.460158,0.459541,0.289954,0.722028,0.131158,0.030257,0.280792,-0.250535,0.853415,0.0,0.853415,0.039334,0.760212,0.720877,0.994784,0.950076,0.586325,2141,295,0.672741,0.111862
gpt-5.4-mini-2026-03-17,OracleFull,130,4680,4680,1.0,0.524359,1.35933,0.857642,2.565661,0.501496,0.171919,0.171302,0.108086,0.52581,0.379259,0.665658,0.554641,0.111017,0.624071,0.522936,0.101135,0.718608,0.688351,-0.030257,0.395409,0.372163,0.197222,923,0,1.0,0.026306
