model,condition,policy_family,n_reps,n_trials,total_interventions,mean_interventions_per_rep,intervention_rate,sparse_nonoracle_eligible,paired_extra_correct,accuracy_gain_vs_raw,extra_correct_per_intervention,extra_correct_per_intervention_ci_low,extra_correct_per_intervention_ci_high,entropy_gain_vs_raw_bits,entropy_lift_bits_per_intervention,entropy_lift_per_intervention_ci_low,entropy_lift_per_intervention_ci_high,target_mi_gain_vs_raw_bits,target_mi_lift_bits_per_intervention,sparse_accuracy_pareto,sparse_target_mi_pareto
claude-opus-4-8,RawLLM,raw,130,4680,0,0.0,0.0,1,0,0.0,,,,0.0,,,,0.0,,1,1
claude-opus-4-8,RuleBlindFull,rule_blind_feedback,130,4680,1032,7.938462,0.220513,1,581,0.124145,0.562984,0.52879,0.598081,0.912158,0.114904,0.113053,0.116714,0.120295,0.015153,1,1
claude-opus-4-8,NoVeto,rule_blind_ablation,130,4680,538,4.138462,0.114957,1,157,0.033547,0.291822,0.250467,0.334637,0.605527,0.146317,0.144654,0.147963,0.072211,0.017449,1,1
claude-opus-4-8,TrajectoryOnly,trajectory_placebo,130,4680,780,6.0,0.166667,1,-28,-0.005983,-0.035897,-0.091026,0.017949,0.816689,0.136115,0.136115,0.136115,0.000225,3.8e-05,0,0
claude-opus-4-8,YokedRandom,yoked_placebo,130,4680,1032,7.938462,0.220513,1,466,0.099573,0.45155,0.418644,0.484437,0.958171,0.1207,0.119544,0.121852,0.112944,0.014227,0,0
claude-opus-4-8,WSLSBudgeted,wsls_budgeted,130,4680,1074,8.261538,0.229487,1,742,0.158547,0.690875,0.662846,0.71875,0.942565,0.114091,0.113094,0.115084,0.156446,0.018937,1,1
claude-opus-4-8,WSLSUnlimited,wsls_unlimited,130,4680,1979,15.223077,0.422863,0,1330,0.284188,0.672057,0.650953,0.692536,1.273545,0.083659,0.081635,0.085876,0.308834,0.020287,0,0
claude-opus-4-8,OracleFull,oracle_assisted,130,4680,1353,10.407692,0.289103,0,1353,0.289103,1.0,1.0,1.0,1.108801,0.106537,0.105244,0.107754,0.497313,0.047783,0,0
claude-sonnet-5,RawLLM,raw,130,4680,0,0.0,0.0,1,0,0.0,,,,0.0,,,,0.0,,1,1
claude-sonnet-5,RuleBlindFull,rule_blind_feedback,130,4680,1031,7.930769,0.220299,1,585,0.125,0.56741,0.533074,0.602121,0.895897,0.112965,0.111035,0.114916,0.117911,0.014868,1,1
claude-sonnet-5,NoVeto,rule_blind_ablation,130,4680,539,4.146154,0.115171,1,157,0.033547,0.29128,0.249057,0.335207,0.591617,0.142691,0.140219,0.145117,0.070044,0.016894,1,1
claude-sonnet-5,TrajectoryOnly,trajectory_placebo,130,4680,735,5.653846,0.157051,1,-30,-0.00641,-0.040816,-0.096022,0.012363,0.767637,0.135772,0.134896,0.136654,0.000653,0.000116,0,0
claude-sonnet-5,YokedRandom,yoked_placebo,130,4680,1031,7.930769,0.220299,1,460,0.098291,0.446169,0.412668,0.478928,0.938318,0.118314,0.11691,0.119805,0.109902,0.013858,0,0
claude-sonnet-5,WSLSBudgeted,wsls_budgeted,130,4680,1083,8.330769,0.23141,1,754,0.161111,0.696214,0.669444,0.723889,0.924102,0.110926,0.109234,0.112561,0.156614,0.0188,1,1
