model,condition,lag_after_first_error,at_risk,recovery_events,censored,recovery_hazard,survival_unrecovered,cumulative_recovery
claude-opus-4-8,RawLLM,0,438,0,0,0.0,1.0,0.0
claude-opus-4-8,RawLLM,1,438,0,0,0.0,1.0,0.0
claude-opus-4-8,RawLLM,2,438,0,0,0.0,1.0,0.0
claude-opus-4-8,RawLLM,3,438,0,14,0.0,1.0,0.0
claude-opus-4-8,RawLLM,4,424,0,150,0.0,1.0,0.0
claude-opus-4-8,RawLLM,5,274,0,149,0.0,1.0,0.0
claude-opus-4-8,RawLLM,6,125,0,114,0.0,1.0,0.0
claude-opus-4-8,RawLLM,7,11,0,11,0.0,1.0,0.0
claude-opus-4-8,RuleBlindFull,0,466,0,0,0.0,1.0,0.0
claude-opus-4-8,RuleBlindFull,1,466,143,0,0.306867,0.693133,0.306867
claude-opus-4-8,RuleBlindFull,2,323,66,2,0.204334,0.551502,0.448498
claude-opus-4-8,RuleBlindFull,3,255,14,10,0.054902,0.521224,0.478776
claude-opus-4-8,RuleBlindFull,4,231,16,74,0.069264,0.485122,0.514878
claude-opus-4-8,RuleBlindFull,5,141,5,78,0.035461,0.467919,0.532081
claude-opus-4-8,RuleBlindFull,6,58,6,46,0.103448,0.419513,0.580487
claude-opus-4-8,RuleBlindFull,7,6,0,6,0.0,0.419513,0.580487
claude-opus-4-8,NoVeto,0,447,0,0,0.0,1.0,0.0
claude-opus-4-8,NoVeto,1,447,9,0,0.020134,0.979866,0.020134
claude-opus-4-8,NoVeto,2,438,119,0,0.271689,0.713647,0.286353
claude-opus-4-8,NoVeto,3,319,1,12,0.003135,0.711409,0.288591
claude-opus-4-8,NoVeto,4,306,1,110,0.003268,0.709085,0.290915
claude-opus-4-8,NoVeto,5,195,0,106,0.0,0.709085,0.290915
claude-opus-4-8,NoVeto,6,89,0,82,0.0,0.709085,0.290915
claude-opus-4-8,NoVeto,7,7,0,7,0.0,0.709085,0.290915
claude-opus-4-8,TrajectoryOnly,0,644,0,54,0.0,1.0,0.0
claude-opus-4-8,TrajectoryOnly,1,590,173,0,0.29322,0.70678,0.29322
claude-opus-4-8,TrajectoryOnly,2,417,7,0,0.016787,0.694915,0.305085
claude-opus-4-8,TrajectoryOnly,3,410,10,24,0.02439,0.677966,0.322034
claude-opus-4-8,TrajectoryOnly,4,376,50,119,0.132979,0.587811,0.412189
