model,condition,n_shift_blocks,no_error_blocks,no_error_block_rate,entered_error_state,mean_first_error_position,recovery_events,right_censored,right_censoring_rate,observed_recovery_fraction,zero_followup_censored,km_recovery_by_1,km_recovery_by_2,km_recovery_by_3,km_recovery_by_4,known_status_by_1,complete_case_recovery_by_1,known_status_by_2,complete_case_recovery_by_2,known_status_by_3,complete_case_recovery_by_3,median_recovery_lag,rmst_unrecovered_4_trials,recovery_by_2_gain_vs_raw,rmst_4_reduction_vs_raw
claude-opus-4-8,RawLLM,661,223,0.337368,438,1.0,0,438,1.0,0.0,0,0.0,0.0,0.0,0.0,438,0.0,438,0.0,438,0.0,,4.0,0.0,0.0
claude-opus-4-8,RuleBlindFull,661,195,0.295008,466,1.019313,250,216,0.463519,0.536481,0,0.306867,0.448498,0.478776,0.514878,466,0.306867,466,0.448498,464,0.480603,4,2.765859,0.448498,1.234141
claude-opus-4-8,NoVeto,661,214,0.323752,447,1.0,130,317,0.709172,0.290828,0,0.020134,0.286353,0.288591,0.290915,447,0.020134,447,0.286353,447,0.288591,,3.404922,0.286353,0.595078
claude-opus-4-8,TrajectoryOnly,661,17,0.025719,644,1.885093,309,335,0.520186,0.479814,54,0.29322,0.305085,0.322034,0.412189,590,0.29322,590,0.305085,590,0.322034,5,3.079661,0.305085,0.920339
claude-opus-4-8,YokedRandom,661,195,0.295008,466,1.030043,308,158,0.339056,0.660944,0,0.321888,0.454936,0.549729,0.628923,466,0.321888,466,0.454936,465,0.550538,3,2.673447,0.454936,1.326553
claude-opus-4-8,WSLSBudgeted,661,165,0.249622,496,1.0,292,204,0.41129,0.58871,0,0.280242,0.58871,0.58871,0.58871,496,0.280242,496,0.58871,496,0.58871,2,2.542338,0.58871,1.457662
claude-opus-4-8,WSLSUnlimited,661,89,0.134644,572,1.0,485,87,0.152098,0.847902,0,0.407343,0.847902,0.847902,0.847902,572,0.407343,572,0.847902,572,0.847902,2,1.896853,0.847902,2.103147
claude-opus-4-8,OracleFull,661,223,0.337368,438,2.611872,362,76,0.173516,0.826484,5,0.145497,1.0,1.0,1.0,433,0.145497,362,1.0,362,1.0,2,1.854503,1.0,2.145497
claude-sonnet-5,RawLLM,661,207,0.313162,454,1.085903,17,437,0.962555,0.037445,2,0.033186,0.033186,0.035398,0.037684,452,0.033186,452,0.033186,452,0.035398,,3.89823,0.0,0.0
claude-sonnet-5,RuleBlindFull,661,180,0.272315,481,1.093555,268,213,0.442827,0.557173,2,0.323591,0.461378,0.503458,0.536414,479,0.323591,479,0.461378,477,0.505241,3,2.711573,0.428192,1.186657
