model,condition,trial_in_block,n_trials,accuracy,choice_entropy_bits,choice_switch_rate,prev_rule_error_rate
claude-opus-4-8,RawLLM,1,661,0.337368,-0.0,0.0,0.335855
claude-opus-4-8,RawLLM,2,661,0.337368,-0.0,0.0,0.335855
claude-opus-4-8,RawLLM,3,661,0.337368,-0.0,0.0,0.335855
claude-opus-4-8,RawLLM,4,661,0.337368,-0.0,0.0,0.335855
claude-opus-4-8,RawLLM,5,638,0.335423,-0.0,0.0,0.340125
claude-opus-4-8,RawLLM,6,408,0.328431,-0.0,0.0,0.330882
claude-opus-4-8,RawLLM,7,192,0.348958,-0.0,0.0,0.328125
claude-opus-4-8,RawLLM,8,18,0.388889,-0.0,0.0,0.222222
claude-opus-4-8,RuleBlindFull,1,661,0.308623,0.509523,0.214826,0.397882
claude-opus-4-8,RuleBlindFull,2,661,0.511346,1.292983,0.444781,0.028744
claude-opus-4-8,RuleBlindFull,3,661,0.608169,1.33164,0.177005,0.054463
claude-opus-4-8,RuleBlindFull,4,661,0.453858,1.007858,0.323752,0.261725
claude-opus-4-8,RuleBlindFull,5,638,0.54232,1.106011,0.442006,0.181818
claude-opus-4-8,RuleBlindFull,6,408,0.426471,0.761049,0.428922,0.289216
claude-opus-4-8,RuleBlindFull,7,192,0.411458,0.398532,0.234375,0.317708
claude-opus-4-8,RuleBlindFull,8,18,0.388889,-0.0,0.055556,0.222222
claude-opus-4-8,NoVeto,1,661,0.323752,0.159151,0.025719,0.354009
claude-opus-4-8,NoVeto,2,661,0.337368,0.454186,0.093797,0.409985
claude-opus-4-8,NoVeto,3,661,0.517398,1.442247,0.529501,0.11649
claude-opus-4-8,NoVeto,4,661,0.33888,0.604073,0.564297,0.443268
claude-opus-4-8,NoVeto,5,638,0.336991,0.153129,0.122257,0.357367
claude-opus-4-8,NoVeto,6,408,0.328431,-0.0,0.019608,0.330882
claude-opus-4-8,NoVeto,7,192,0.348958,-0.0,0.0,0.328125
claude-opus-4-8,NoVeto,8,18,0.388889,-0.0,0.0,0.222222
claude-opus-4-8,TrajectoryOnly,1,661,0.331316,1.032977,0.524962,0.352496
claude-opus-4-8,TrajectoryOnly,2,661,0.332829,0.573859,0.344932,0.33888
claude-opus-4-8,TrajectoryOnly,3,661,0.334342,0.306461,0.146747,0.329803
claude-opus-4-8,TrajectoryOnly,4,661,0.313162,0.593262,0.151286,0.352496
claude-opus-4-8,TrajectoryOnly,5,638,0.336991,0.985286,0.304075,0.319749
claude-opus-4-8,TrajectoryOnly,6,408,0.343137,1.195176,0.514706,0.328431
claude-opus-4-8,TrajectoryOnly,7,192,0.328125,1.240029,0.552083,0.328125
claude-opus-4-8,TrajectoryOnly,8,18,0.222222,-0.0,1.0,0.388889
claude-opus-4-8,YokedRandom,1,661,0.316188,0.509983,0.214826,0.381241
claude-opus-4-8,YokedRandom,2,661,0.521936,1.298982,0.444781,0.015129
claude-opus-4-8,YokedRandom,3,661,0.512859,1.332377,0.23298,0.030257
claude-opus-4-8,YokedRandom,4,661,0.456884,1.007168,0.409985,0.220877
claude-opus-4-8,YokedRandom,5,638,0.462382,1.107836,0.438871,0.152038
claude-opus-4-8,YokedRandom,6,408,0.392157,0.766572,0.428922,0.269608
claude-opus-4-8,YokedRandom,7,192,0.375,0.394684,0.234375,0.34375
claude-opus-4-8,YokedRandom,8,18,0.388889,-0.0,0.055556,0.222222
claude-opus-4-8,WSLSBudgeted,1,661,0.249622,0.869764,0.013616,0.518911
claude-opus-4-8,WSLSBudgeted,2,661,0.459909,1.223592,0.449319,0.069592
claude-opus-4-8,WSLSBudgeted,3,661,0.680787,1.271083,0.246596,0.08472
claude-opus-4-8,WSLSBudgeted,4,661,0.641452,1.186909,0.039334,0.1059
claude-opus-4-8,WSLSBudgeted,5,638,0.587774,1.064793,0.057994,0.134796
claude-opus-4-8,WSLSBudgeted,6,408,0.553922,0.993631,0.04902,0.127451
claude-opus-4-8,WSLSBudgeted,7,192,0.546875,0.909283,0.036458,0.130208
claude-opus-4-8,WSLSBudgeted,8,18,0.388889,-0.0,0.0,0.222222
claude-opus-4-8,WSLSUnlimited,1,661,0.134644,1.367476,0.0,0.733737
claude-opus-4-8,WSLSUnlimited,2,661,0.487141,1.501022,0.733737,0.0
claude-opus-4-8,WSLSUnlimited,3,661,0.868381,1.527985,0.381241,0.0
claude-opus-4-8,WSLSUnlimited,4,661,0.868381,1.527985,0.0,0.0
claude-opus-4-8,WSLSUnlimited,5,638,0.863636,1.525912,0.0,0.0
claude-opus-4-8,WSLSUnlimited,6,408,0.85049,1.518785,0.0,0.0
claude-opus-4-8,WSLSUnlimited,7,192,0.885417,1.509593,0.0,0.0
claude-opus-4-8,WSLSUnlimited,8,18,0.944444,1.480682,0.0,0.0
