error_streak_to_open,veto_window,rescue_error_streak,rescue_cooldown,belief_confirm_streak,mean_accuracy,mean_persistence,mean_interventions
1,4,2,6,2,0.4856,8.2333,8.2
1,5,2,6,2,0.4847,8.3667,8.15
1,3,2,6,2,0.4824,8.2667,8.1
2,5,2,6,2,0.4819,8.7667,8.1
2,4,2,6,2,0.4806,8.7333,8.0167
3,5,2,4,2,0.4806,10.8667,10.1333
2,3,2,6,2,0.4782,8.65,7.8833
1,5,2,4,2,0.4764,8.55,9.6167
2,5,2,4,2,0.4764,8.9833,9.3833
3,5,2,6,2,0.4764,9.8167,8.3833
1,4,2,4,2,0.4741,8.55,9.55
2,4,2,4,2,0.4741,8.95,9.3
2,2,2,6,2,0.4722,8.8667,7.5667
2,3,2,4,2,0.4713,8.9833,9.0667
1,3,2,4,2,0.4708,8.6667,9.2833
3,4,2,4,2,0.4704,10.9,9.7
1,2,2,6,2,0.4694,8.6667,7.5
1,5,2,8,2,0.4676,7.0333,6.8167
1,4,2,8,2,0.4667,6.9833,6.75
3,4,2,6,2,0.4667,9.8167,7.8833
3,5,2,8,2,0.4662,9.85,8.0
1,3,2,8,2,0.4653,7.0333,6.6167
3,5,3,4,2,0.4639,10.5333,8.4833
1,5,3,4,2,0.4625,9.55,8.8167
3,3,2,4,2,0.4625,11.0833,9.45
3,3,2,6,2,0.462,9.7333,7.5833
2,4,3,4,2,0.4616,10.05,8.3167
2,4,2,8,2,0.4611,7.45,6.5833
2,5,2,8,2,0.4611,7.5167,6.7333
1,5,3,8,2,0.4602,7.9667,6.5
2,5,3,4,2,0.4602,10.15,8.3833
2,3,2,8,2,0.4588,7.3833,6.35
2,3,3,4,2,0.4583,10.0333,8.15
3,4,3,4,2,0.4579,10.6167,8.2
1,4,3,4,2,0.4574,9.6833,8.7167
2,2,2,4,2,0.4569,9.2667,8.6333
1,4,3,8,2,0.4565,7.9667,6.3667
3,4,2,8,2,0.4556,9.85,7.5167
3,3,3,4,2,0.4546,10.55,8.0333
3,2,2,6,2,0.4542,9.6667,7.1
3,2,2,4,2,0.4537,11.0,9.0833
2,5,3,8,2,0.4528,8.7,6.2667
2,4,3,8,2,0.4523,8.55,6.1333
1,3,3,4,2,0.4519,9.9333,8.5333
1,5,4,8,2,0.4519,9.1333,6.5
1,5,3,6,2,0.4514,8.6667,7.7333
2,2,3,4,2,0.4509,9.95,7.55
2,5,3,6,2,0.4509,9.2333,7.5333
1,3,3,8,2,0.4505,8.1333,6.1833
1,2,2,4,2,0.4495,9.05,8.6333
1,4,4,8,2,0.4491,9.25,6.35
2,3,3,8,2,0.4491,8.55,5.95
2,5,4,4,2,0.4491,10.6333,7.85
2,4,3,6,2,0.4486,9.1333,7.3
3,3,2,8,2,0.4486,9.8167,7.1833
3,5,3,8,2,0.4486,9.2667,6.5
3,5,4,4,2,0.4481,11.2167,8.0
1,2,3,4,2,0.4477,9.6833,7.6167
3,4,3,8,2,0.4477,9.2167,6.3
1,4,3,6,2,0.4472,8.7167,7.5833
1,5,4,4,2,0.4468,9.85,8.15
2,2,2,8,2,0.4463,7.5833,6.0667
3,5,3,6,2,0.4458,9.7167,7.7
1,2,2,8,2,0.4454,7.4333,6.1
2,2,3,8,2,0.4449,8.3833,5.45
1,2,3,8,2,0.444,8.0667,5.4833
1,4,2,6,1,0.444,9.6167,6.65
1,5,2,6,1,0.444,9.6167,6.65
3,3,3,8,2,0.444,9.0333,5.95
2,4,4,4,2,0.4435,10.5833,7.7333
1,4,4,4,2,0.4431,10.0,8.1
3,4,3,6,2,0.4426,9.7167,7.5
1,3,2,6,1,0.4421,9.65,6.6
1,3,3,6,2,0.4421,8.8667,7.4
3,2,2,8,2,0.4421,9.6167,6.6833
3,2,3,4,2,0.4421,10.3333,7.4333
1,3,4,8,2,0.4417,9.35,6.0667
1,5,0,4,2,0.4417,7.8333,3.9833
