label,model,comparison,metric,family,n_pairs,n_dropped,mean_diff,ci_low,ci_high,rank_biserial,p_raw,p_holm
study1_exploratory,claude,RuleBlindFull vs RawLLM,total_accuracy,primary,30,0,0.1472,0.1296,0.1648,1.0,0.0001,<.001
study1_exploratory,claude,RuleBlindFull vs RawLLM,prev_rule_error_count,primary,30,0,-3.2,-3.8,-2.6,-1.0,0.0001,<.001
study1_exploratory,claude,RuleBlindFull vs YokedRandom,total_accuracy,primary,30,0,0.0546,0.0352,0.075,0.8783,0.0002,<.001
study1_exploratory,claude,RuleBlindFull vs YokedRandom,prev_rule_error_count,primary,30,0,0.5333,0.1333,0.9333,0.6491,0.0223,0.0223
study1_exploratory,claude,RuleBlindFull vs NoVeto,total_accuracy,secondary,30,0,0.0981,0.0806,0.1139,0.9871,0.0001,<.001
study1_exploratory,claude,RuleBlindFull vs NoVeto,prev_rule_error_count,secondary,30,0,-3.3333,-3.8333,-2.8,-0.9892,0.0001,<.001
study1_exploratory,claude,RuleBlindFull vs WSLSBudgeted,total_accuracy,secondary,30,0,-0.0602,-0.0769,-0.0426,-0.9471,0.0001,<.001
study1_exploratory,claude,RuleBlindFull vs WSLSBudgeted,prev_rule_error_count,secondary,30,0,-1.1667,-1.7667,-0.5667,-0.7283,0.0019,0.0057
study1_exploratory,claude,TrajectoryOnly vs RawLLM,total_accuracy,secondary,30,0,0.0009,-0.0102,0.012,-0.0238,1.0,1.0
study1_exploratory,claude,TrajectoryOnly vs RawLLM,prev_rule_error_count,secondary,30,0,-0.4,-0.7667,0.0,-0.4638,0.08059,0.16118
study1_exploratory,claude,OracleFull vs RawLLM,total_accuracy,reference,30,0,0.2324,0.2139,0.2509,1.0,0.0001,<.001
study1_exploratory,claude,OracleFull vs RawLLM,prev_rule_error_count,reference,30,0,-6.0667,-6.6333,-5.5,-1.0,0.0001,<.001
study1_exploratory,claude,TrajectoryOnly vs RawLLM,"total_accuracy (equivalence, SESOI ±0.02)",equivalence,30,0,0.0009,-0.0083,0.0102,,,equivalent
study1_exploratory,gpt,RuleBlindFull vs RawLLM,total_accuracy,primary,30,0,0.1704,0.1565,0.1833,1.0,0.0001,<.001
study1_exploratory,gpt,RuleBlindFull vs RawLLM,prev_rule_error_count,primary,30,0,-4.7667,-5.4,-4.1333,-1.0,0.0001,<.001
study1_exploratory,gpt,RuleBlindFull vs YokedRandom,total_accuracy,primary,30,0,0.0593,0.0463,0.0722,1.0,0.0001,<.001
study1_exploratory,gpt,RuleBlindFull vs YokedRandom,prev_rule_error_count,primary,30,0,0.2,-0.1667,0.6,0.2286,0.39466,0.39466
study1_exploratory,gpt,RuleBlindFull vs NoVeto,total_accuracy,secondary,30,0,0.1269,0.113,0.1407,1.0,0.0001,<.001
study1_exploratory,gpt,RuleBlindFull vs NoVeto,prev_rule_error_count,secondary,30,0,-4.6667,-5.2,-4.1333,-1.0,0.0001,<.001
study1_exploratory,gpt,RuleBlindFull vs WSLSBudgeted,total_accuracy,secondary,30,0,-0.0444,-0.0602,-0.0296,-0.9231,0.0001,<.001
study1_exploratory,gpt,RuleBlindFull vs WSLSBudgeted,prev_rule_error_count,secondary,30,0,-0.8667,-1.3667,-0.3333,-0.668,0.0055,0.0165
study1_exploratory,gpt,TrajectoryOnly vs RawLLM,total_accuracy,secondary,30,0,-0.0083,-0.0176,0.0009,-0.4314,0.14119,0.28237
study1_exploratory,gpt,TrajectoryOnly vs RawLLM,prev_rule_error_count,secondary,30,0,-0.1667,-0.4,0.0667,-0.3846,0.26737,0.28237
study1_exploratory,gpt,OracleFull vs RawLLM,total_accuracy,reference,30,0,0.2676,0.2556,0.2787,1.0,0.0001,<.001
study1_exploratory,gpt,OracleFull vs RawLLM,prev_rule_error_count,reference,30,0,-6.6,-7.0667,-6.1333,-1.0,0.0001,<.001
study1_exploratory,gpt,TrajectoryOnly vs RawLLM,"total_accuracy (equivalence, SESOI ±0.02)",equivalence,30,0,-0.0083,-0.0157,-0.0,,,equivalent
