model,rep,condition,trial_number,raw_choice,final_choice,intervened,correct,persistence_error
claude,1,RawLLM,1,color,color,0,1,0
claude,1,RawLLM,2,color,color,0,1,0
claude,1,RawLLM,3,color,color,0,1,0
claude,1,RawLLM,4,color,color,0,1,0
claude,1,RawLLM,5,color,color,0,1,0
claude,1,RawLLM,6,color,color,0,1,0
claude,1,RawLLM,7,shape,shape,0,1,0
claude,1,RawLLM,8,shape,shape,0,1,0
claude,1,RawLLM,9,color,color,0,0,1
claude,1,RawLLM,10,shape,shape,0,1,0
claude,1,RawLLM,11,color,color,0,0,1
claude,1,RawLLM,12,shape,shape,0,1,0
claude,1,RawLLM,13,color,color,0,0,0
claude,1,RawLLM,14,number,number,0,1,0
claude,1,RawLLM,15,color,color,0,0,0
claude,1,RawLLM,16,color,color,0,0,0
claude,1,RawLLM,17,color,color,0,0,0
claude,1,RawLLM,18,number,number,0,1,0
claude,1,RawLLM,19,shape,shape,0,0,0
claude,1,RawLLM,20,shape,shape,0,0,0
claude,1,RawLLM,21,shape,shape,0,0,0
claude,1,RawLLM,22,color,color,0,1,0
claude,1,RawLLM,23,number,number,0,0,1
claude,1,RawLLM,24,color,color,0,1,0
claude,1,RawLLM,25,number,number,0,0,0
claude,1,RawLLM,26,color,color,0,0,1
claude,1,RawLLM,27,color,color,0,0,1
claude,1,RawLLM,28,color,color,0,0,1
claude,1,RawLLM,29,number,number,0,0,0
claude,1,RawLLM,30,color,color,0,0,1
claude,1,RawLLM,31,color,color,0,0,0
claude,1,RawLLM,32,number,number,0,1,0
claude,1,RawLLM,33,color,color,0,0,0
claude,1,RawLLM,34,shape,shape,0,0,1
claude,1,RawLLM,35,color,color,0,0,0
claude,1,RawLLM,36,number,number,0,1,0
claude,1,RuleBlindFull,1,color,color,0,1,0
claude,1,RuleBlindFull,2,color,color,0,1,0
claude,1,RuleBlindFull,3,color,color,0,1,0
claude,1,RuleBlindFull,4,color,color,0,1,0
claude,1,RuleBlindFull,5,color,color,0,1,0
claude,1,RuleBlindFull,6,color,color,0,1,0
claude,1,RuleBlindFull,7,shape,shape,0,1,0
claude,1,RuleBlindFull,8,shape,shape,0,1,0
claude,1,RuleBlindFull,9,color,color,0,0,1
claude,1,RuleBlindFull,10,shape,shape,0,1,0
claude,1,RuleBlindFull,11,color,color,0,0,1
claude,1,RuleBlindFull,12,shape,shape,0,1,0
claude,1,RuleBlindFull,13,color,color,0,0,0
claude,1,RuleBlindFull,14,number,number,0,1,0
claude,1,RuleBlindFull,15,color,color,0,0,0
claude,1,RuleBlindFull,16,color,color,0,0,0
claude,1,RuleBlindFull,17,color,color,0,0,0
claude,1,RuleBlindFull,18,number,number,0,1,0
claude,1,RuleBlindFull,19,shape,shape,0,0,0
claude,1,RuleBlindFull,20,shape,shape,0,0,0
claude,1,RuleBlindFull,21,shape,number,1,0,1
claude,1,RuleBlindFull,22,color,color,0,1,0
claude,1,RuleBlindFull,23,number,number,0,0,1
claude,1,RuleBlindFull,24,color,color,0,1,0
claude,1,RuleBlindFull,25,number,number,0,0,0
claude,1,RuleBlindFull,26,color,color,0,0,1
claude,1,RuleBlindFull,27,color,color,0,0,1
claude,1,RuleBlindFull,28,color,color,0,0,1
claude,1,RuleBlindFull,29,number,number,0,0,0
claude,1,RuleBlindFull,30,color,color,0,0,1
claude,1,RuleBlindFull,31,color,color,0,0,0
claude,1,RuleBlindFull,32,number,number,0,1,0
claude,1,RuleBlindFull,33,color,color,0,0,0
claude,1,RuleBlindFull,34,shape,shape,0,0,1
claude,1,RuleBlindFull,35,color,color,0,0,0
claude,1,RuleBlindFull,36,number,number,0,1,0
claude,1,NoVeto,1,color,color,0,1,0
claude,1,NoVeto,2,color,color,0,1,0
claude,1,NoVeto,3,color,color,0,1,0
claude,1,NoVeto,4,color,color,0,1,0
claude,1,NoVeto,5,color,color,0,1,0
claude,1,NoVeto,6,color,color,0,1,0
claude,1,NoVeto,7,shape,shape,0,1,0
claude,1,NoVeto,8,shape,shape,0,1,0
claude,1,NoVeto,9,color,color,0,0,1
claude,1,NoVeto,10,shape,shape,0,1,0
claude,1,NoVeto,11,color,color,0,0,1
claude,1,NoVeto,12,shape,shape,0,1,0
claude,1,NoVeto,13,color,color,0,0,0
claude,1,NoVeto,14,number,number,0,1,0
claude,1,NoVeto,15,color,color,0,0,0
claude,1,NoVeto,16,color,color,0,0,0
claude,1,NoVeto,17,color,color,0,0,0
claude,1,NoVeto,18,number,number,0,1,0
claude,1,NoVeto,19,shape,shape,0,0,0
claude,1,NoVeto,20,shape,shape,0,0,0
claude,1,NoVeto,21,shape,shape,0,0,0
claude,1,NoVeto,22,color,color,0,1,0
claude,1,NoVeto,23,number,number,0,0,1
claude,1,NoVeto,24,color,color,0,1,0
claude,1,NoVeto,25,number,number,0,0,0
claude,1,NoVeto,26,color,color,0,0,1
claude,1,NoVeto,27,color,color,0,0,1
