label,model,comparison,metric,family,n_pairs,n_dropped,mean_diff,ci_low,ci_high,rank_biserial,p_raw,p_holm,success
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs RawLLM,total_accuracy,primary,130,0,0.1241,0.1156,0.1327,1.0,0.0001,<.001,PASS
study2_confirmatory,claude-opus-4-8,WSLSBudgeted vs RawLLM,total_accuracy,primary,130,0,0.1585,0.1489,0.1679,1.0,0.0001,<.001,PASS
study2_confirmatory,claude-opus-4-8,WSLSBudgeted vs RuleBlindFull,total_accuracy,primary,130,0,0.0344,0.0239,0.0449,0.6176,0.0001,<.001,PASS
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs WSLSBudgeted,prev_rule_error_count,primary,130,0,0.8308,0.4231,1.2385,0.4023,0.0001,<.001,fail
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs YokedRandom,total_accuracy,secondary,130,0,0.0246,0.0147,0.0348,0.4818,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs YokedRandom,prev_rule_error_count,secondary,130,0,0.6538,0.4846,0.8231,0.7919,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs NoVeto,total_accuracy,secondary,130,0,0.0906,0.0835,0.0976,1.0,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs NoVeto,prev_rule_error_count,secondary,130,0,-3.9615,-4.2462,-3.6769,-1.0,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs RawLLM,prev_rule_error_count,secondary,130,0,-3.9769,-4.5308,-3.4154,-0.9122,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,WSLSBudgeted vs RawLLM,prev_rule_error_count,secondary,130,0,-4.8077,-5.1,-4.5077,-1.0,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,TrajectoryOnly vs RawLLM,total_accuracy,secondary,130,0,-0.006,-0.015,0.0028,-0.1613,0.20928,0.41856,
study2_confirmatory,claude-opus-4-8,TrajectoryOnly vs RawLLM,prev_rule_error_count,secondary,130,0,0.0692,-0.2308,0.3769,0.0429,0.68933,0.68933,
study2_confirmatory,claude-opus-4-8,OracleFull vs RawLLM,total_accuracy,reference,130,0,0.2891,0.2835,0.2947,1.0,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,OracleFull vs RawLLM,prev_rule_error_count,reference,130,0,-5.9462,-6.3769,-5.5154,-1.0,0.0001,<.001,
study2_confirmatory,claude-opus-4-8,RuleBlindFull vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.1241,0.1156,0.1327,,,noninferior,
study2_confirmatory,claude-opus-4-8,WSLSBudgeted vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.1585,0.1489,0.1679,,,noninferior,
study2_confirmatory,claude-opus-4-8,(all four primary tests),confirmatory verdict,verdict,,,,,,,,not_replicated,
study2_confirmatory,claude-opus-4-8,TrajectoryOnly vs RawLLM,"total_accuracy (equivalence, SESOI ±0.02)",equivalence,130,0,-0.006,-0.0135,0.0015,,,equivalent,
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs RawLLM,total_accuracy,primary,130,0,0.125,0.1165,0.1335,1.0,0.0001,<.001,PASS
study2_confirmatory,claude-sonnet-5,WSLSBudgeted vs RawLLM,total_accuracy,primary,130,0,0.1611,0.1517,0.1705,1.0,0.0001,<.001,PASS
study2_confirmatory,claude-sonnet-5,WSLSBudgeted vs RuleBlindFull,total_accuracy,primary,130,0,0.0361,0.0254,0.047,0.622,0.0001,<.001,PASS
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs WSLSBudgeted,prev_rule_error_count,primary,130,0,0.5846,0.1538,1.0154,0.2836,0.0084,0.0084,fail
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs YokedRandom,total_accuracy,secondary,130,0,0.0267,0.0171,0.0368,0.5426,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs YokedRandom,prev_rule_error_count,secondary,130,0,0.5769,0.4154,0.7385,0.7553,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs NoVeto,total_accuracy,secondary,130,0,0.0915,0.0844,0.0987,1.0,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs NoVeto,prev_rule_error_count,secondary,130,0,-3.9923,-4.2692,-3.7154,-1.0,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs RawLLM,prev_rule_error_count,secondary,130,0,-4.0231,-4.5615,-3.4769,-0.9156,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,WSLSBudgeted vs RawLLM,prev_rule_error_count,secondary,130,0,-4.6077,-4.9462,-4.2538,-0.997,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,TrajectoryOnly vs RawLLM,total_accuracy,secondary,130,0,-0.0064,-0.015,0.0019,-0.1586,0.15928,0.31857,
study2_confirmatory,claude-sonnet-5,TrajectoryOnly vs RawLLM,prev_rule_error_count,secondary,130,0,0.1308,-0.1692,0.4385,0.0765,0.42866,0.42866,
study2_confirmatory,claude-sonnet-5,OracleFull vs RawLLM,total_accuracy,reference,130,0,0.2846,0.2786,0.2906,1.0,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,OracleFull vs RawLLM,prev_rule_error_count,reference,130,0,-5.9077,-6.3308,-5.4846,-1.0,0.0001,<.001,
study2_confirmatory,claude-sonnet-5,RuleBlindFull vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.125,0.1165,0.1335,,,noninferior,
study2_confirmatory,claude-sonnet-5,WSLSBudgeted vs RawLLM,"total_accuracy (non-inferiority, margin -0.02)",noninferiority,130,0,0.1611,0.1517,0.1705,,,noninferior,
study2_confirmatory,claude-sonnet-5,(all four primary tests),confirmatory verdict,verdict,,,,,,,,not_replicated,
study2_confirmatory,claude-sonnet-5,TrajectoryOnly vs RawLLM,"total_accuracy (equivalence, SESOI ±0.02)",equivalence,130,0,-0.0064,-0.0137,0.0006,,,equivalent,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs RawLLM,total_accuracy,primary,130,0,0.116,0.1066,0.1252,0.9859,0.0001,<.001,PASS
study2_confirmatory,gpt-5.4-mini-2026-03-17,WSLSBudgeted vs RawLLM,total_accuracy,primary,130,0,0.169,0.1615,0.1765,1.0,0.0001,<.001,PASS
study2_confirmatory,gpt-5.4-mini-2026-03-17,WSLSBudgeted vs RuleBlindFull,total_accuracy,primary,130,0,0.053,0.0423,0.0637,0.7864,0.0001,<.001,PASS
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs WSLSBudgeted,prev_rule_error_count,primary,130,0,-0.1462,-0.5385,0.2231,-0.1136,0.48515,0.48515,fail
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs YokedRandom,total_accuracy,secondary,130,0,0.0438,0.035,0.0528,0.7747,0.0001,<.001,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs YokedRandom,prev_rule_error_count,secondary,130,0,0.0846,-0.1538,0.3231,0.0447,0.52515,1.0,
study2_confirmatory,gpt-5.4-mini-2026-03-17,RuleBlindFull vs NoVeto,total_accuracy,secondary,130,0,0.0652,0.0556,0.0746,0.9099,0.0001,<.001,
