model,rep,condition,n_trials,total_accuracy,prev_rule_error_count,old_rule_reentry_count,choice_entropy,unparsable_count,recovery_latency_mean,latency_censored_count,intervention_count,intervention_coverage,corrective_override_count,harmful_override_count,net_correction,intervention_precision,subsequent_success_rate
claude-opus-4-8,1,RawLLM,36.0,0.5555555555555556,16.0,0.0,0.0,0.0,3.6,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,1,RuleBlindFull,36.0,0.8055555555555556,7.0,4.0,0.8113,0.0,1.6,0.0,9.0,0.25,9.0,0.0,9.0,1.0,0.8888888888888888
claude-opus-4-8,1,NoVeto,36.0,0.6388888888888888,13.0,7.0,0.4138,0.0,2.2,0.0,3.0,0.0833,3.0,0.0,3.0,1.0,0.0
claude-opus-4-8,1,TrajectoryOnly,36.0,0.4166666666666667,17.0,2.0,0.8167,0.0,4.0,3.0,6.0,0.1667,0.0,5.0,-5.0,0.16666666666666666,0.3333333333333333
claude-opus-4-8,1,YokedRandom,36.0,0.6666666666666666,7.0,2.0,1.059,0.0,3.0,0.0,9.0,0.25,4.0,0.0,4.0,1.0,0.6666666666666666
claude-opus-4-8,1,WSLSBudgeted,36.0,0.6944444444444444,10.0,1.0,0.9371,0.0,2.8,1.0,9.0,0.25,7.0,2.0,5.0,0.7777777777777778,0.8888888888888888
claude-opus-4-8,1,WSLSUnlimited,36.0,0.8055555555555556,5.0,0.0,1.2445,0.0,2.4,0.0,17.0,0.4722,13.0,4.0,9.0,0.7647058823529411,0.8235294117647058
claude-opus-4-8,1,OracleFull,36.0,0.8333333333333334,6.0,6.0,0.8524,0.0,1.0,0.0,10.0,0.2778,10.0,0.0,10.0,1.0,0.6
claude-opus-4-8,2,RawLLM,36.0,0.16666666666666666,5.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,2,RuleBlindFull,36.0,0.25,4.0,1.0,0.9022,0.0,4.6,2.0,7.0,0.1944,3.0,0.0,3.0,1.0,0.2857142857142857
claude-opus-4-8,2,NoVeto,36.0,0.16666666666666666,7.0,0.0,0.7162,0.0,5.0,4.0,5.0,0.1389,0.0,0.0,0.0,1.0,0.0
claude-opus-4-8,2,TrajectoryOnly,36.0,0.2222222222222222,6.0,1.0,0.8167,0.0,4.8,1.0,6.0,0.1667,3.0,1.0,2.0,0.8333333333333334,0.3333333333333333
claude-opus-4-8,2,YokedRandom,36.0,0.2222222222222222,4.0,1.0,0.9022,0.0,3.8,3.0,7.0,0.1944,2.0,0.0,2.0,1.0,0.14285714285714285
claude-opus-4-8,2,WSLSBudgeted,36.0,0.3611111111111111,2.0,0.0,1.059,0.0,3.8,2.0,9.0,0.25,7.0,0.0,7.0,1.0,0.7777777777777778
claude-opus-4-8,2,WSLSUnlimited,36.0,0.5,3.0,0.0,1.3952,0.0,3.2,1.0,15.0,0.4167,12.0,0.0,12.0,1.0,0.8666666666666667
claude-opus-4-8,2,OracleFull,36.0,0.4722222222222222,2.0,2.0,1.1917,0.0,1.8,0.0,11.0,0.3056,11.0,0.0,11.0,1.0,0.2727272727272727
