label,model,comparison,metric,family,n_pairs,n_dropped,mean_diff,ci_low,ci_high,rank_biserial,p_raw,p_holm,success
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs RawLLM,prev_rule_error_count,primary,130,0,-5.2308,-5.4846,-4.9615,-1.0,0.0001,<.001,PASS
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs RawLLM,total_accuracy,secondary,130,0,0.1547,0.1464,0.163,1.0,0.0001,<.001,PASS
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs WSLSBudgeted,prev_rule_error_count,secondary,130,0,0.0,0.0,0.0,0.0,1.0,1.0,
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs RuleBlindFull,total_accuracy,secondary,130,0,0.0209,0.0098,0.0321,0.3829,0.0006,0.0012,
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs RuleBlindFull,prev_rule_error_count,exploratory,130,0,-0.7846,-1.1923,-0.3923,-0.3706,0.0004,<.001,
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs RuleBlindFull,"prev_rule_error_count (non-inferiority, Delta 1.9917)",noninferiority,130,0,-0.7846,-1.1923,-0.3923,,,noninferior,
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs RawLLM,"total_accuracy (do-no-harm, margin -0.02)",noninferiority,130,0,0.1547,0.1464,0.163,,,noninferior,
study2b_confirmatory,claude-opus-4-8,WCDMinimal vs RuleBlindFull,"total_accuracy (do-no-harm, margin -0.02)",noninferiority,130,0,0.0209,0.0098,0.0321,,,noninferior,
study2b_confirmatory,claude-opus-4-8,(P1 x S1 interpretation map),confirmatory verdict,verdict,,,,,,,,minimal_sufficient_stack_unnecessary,
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs RawLLM,prev_rule_error_count,primary,130,0,-4.9769,-5.2769,-4.6538,-0.9984,0.0001,<.001,PASS
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs RawLLM,total_accuracy,secondary,130,0,0.1547,0.1464,0.163,1.0,0.0001,<.001,PASS
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs WSLSBudgeted,prev_rule_error_count,secondary,130,0,0.0,0.0,0.0,0.0,1.0,1.0,
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs RuleBlindFull,total_accuracy,secondary,130,0,0.0207,0.0094,0.0318,0.3786,0.0007,0.0014,
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs RuleBlindFull,prev_rule_error_count,exploratory,130,0,-0.5385,-0.9308,-0.1308,-0.2646,0.0126,0.0126,
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs RuleBlindFull,"prev_rule_error_count (non-inferiority, Delta 1.9917)",noninferiority,130,0,-0.5385,-0.9308,-0.1308,,,noninferior,
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs RawLLM,"total_accuracy (do-no-harm, margin -0.02)",noninferiority,130,0,0.1547,0.1464,0.163,,,noninferior,
study2b_confirmatory,claude-sonnet-5,WCDMinimal vs RuleBlindFull,"total_accuracy (do-no-harm, margin -0.02)",noninferiority,130,0,0.0207,0.0094,0.0318,,,noninferior,
study2b_confirmatory,claude-sonnet-5,(P1 x S1 interpretation map),confirmatory verdict,verdict,,,,,,,,minimal_sufficient_stack_unnecessary,
