model,rep,condition,n_trials,total_accuracy,prev_rule_error_count,old_rule_reentry_count,choice_entropy,unparsable_count,recovery_latency_mean,latency_censored_count,intervention_count,intervention_coverage,corrective_override_count,harmful_override_count,net_correction,intervention_precision,subsequent_success_rate
claude-opus-4-8,131,RawLLM,36.0,0.5,11.0,0.0,0.0,0.0,2.8,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,131,WCDMinimal,36.0,0.6388888888888888,5.0,2.0,0.9371,0.0,1.8,0.0,9.0,0.25,7.0,2.0,5.0,0.7777777777777778,0.7777777777777778
claude-opus-4-8,131,RuleBlindFull,36.0,0.6944444444444444,5.0,3.0,0.7107,0.0,1.4,0.0,7.0,0.1944,7.0,0.0,7.0,1.0,0.8571428571428571
claude-opus-4-8,131,WSLSBudgeted,36.0,0.6388888888888888,5.0,2.0,0.9371,0.0,1.8,0.0,9.0,0.25,7.0,2.0,5.0,0.7777777777777778,0.7777777777777778
claude-opus-4-8,132,RawLLM,36.0,0.5277777777777778,17.0,0.0,0.0,0.0,3.8,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,132,WCDMinimal,36.0,0.6388888888888888,11.0,2.0,1.0409,0.0,3.0,1.0,9.0,0.25,6.0,2.0,4.0,0.7777777777777778,0.7777777777777778
claude-opus-4-8,132,RuleBlindFull,36.0,0.6388888888888888,10.0,6.0,1.0023,0.0,2.4,0.0,9.0,0.25,5.0,1.0,4.0,0.8888888888888888,0.6666666666666666
claude-opus-4-8,132,WSLSBudgeted,36.0,0.6388888888888888,11.0,2.0,1.0409,0.0,3.0,1.0,9.0,0.25,6.0,2.0,4.0,0.7777777777777778,0.7777777777777778
claude-opus-4-8,133,RawLLM,36.0,0.3888888888888889,11.0,0.0,0.0,0.0,4.6,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,133,WCDMinimal,36.0,0.6111111111111112,6.0,0.0,1.0023,0.0,3.0,2.0,9.0,0.25,8.0,0.0,8.0,1.0,0.8888888888888888
claude-opus-4-8,133,RuleBlindFull,36.0,0.5,7.0,3.0,0.9445,0.0,3.6,2.0,8.0,0.2222,4.0,0.0,4.0,1.0,0.625
claude-opus-4-8,133,WSLSBudgeted,36.0,0.6111111111111112,6.0,0.0,1.0023,0.0,3.0,2.0,9.0,0.25,8.0,0.0,8.0,1.0,0.8888888888888888
claude-opus-4-8,134,RawLLM,36.0,0.16666666666666666,4.0,0.0,0.0,0.0,4.8,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,134,WCDMinimal,36.0,0.2222222222222222,1.0,0.0,0.4903,0.0,4.6,3.0,3.0,0.0833,2.0,0.0,2.0,1.0,0.6666666666666666
claude-opus-4-8,134,RuleBlindFull,36.0,0.19444444444444445,6.0,1.0,0.9022,0.0,4.6,3.0,7.0,0.1944,2.0,1.0,1.0,0.8571428571428571,0.2857142857142857
claude-opus-4-8,134,WSLSBudgeted,36.0,0.2222222222222222,1.0,0.0,0.4903,0.0,4.6,3.0,3.0,0.0833,2.0,0.0,2.0,1.0,0.6666666666666666
claude-opus-4-8,135,RawLLM,36.0,0.4722222222222222,13.0,0.0,0.0,0.0,3.2,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,135,WCDMinimal,36.0,0.6111111111111112,6.0,3.0,1.0023,0.0,2.0,0.0,9.0,0.25,6.0,1.0,5.0,0.8888888888888888,0.8888888888888888
claude-opus-4-8,135,RuleBlindFull,36.0,0.6666666666666666,6.0,4.0,0.9445,0.0,1.6,0.0,8.0,0.2222,7.0,0.0,7.0,1.0,0.75
claude-opus-4-8,135,WSLSBudgeted,36.0,0.6111111111111112,6.0,3.0,1.0023,0.0,2.0,0.0,9.0,0.25,6.0,1.0,5.0,0.8888888888888888,0.8888888888888888
claude-opus-4-8,136,RawLLM,36.0,0.3055555555555556,13.0,0.0,0.0,0.0,5.2,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,136,WCDMinimal,36.0,0.5,8.0,0.0,1.0409,0.0,3.8,2.0,9.0,0.25,7.0,0.0,7.0,1.0,0.7777777777777778
claude-opus-4-8,136,RuleBlindFull,36.0,0.4444444444444444,6.0,3.0,1.0409,0.0,4.0,2.0,9.0,0.25,5.0,0.0,5.0,1.0,0.7777777777777778
claude-opus-4-8,136,WSLSBudgeted,36.0,0.5,8.0,0.0,1.0409,0.0,3.8,2.0,9.0,0.25,7.0,0.0,7.0,1.0,0.7777777777777778
claude-opus-4-8,137,RawLLM,36.0,0.4444444444444444,13.0,0.0,0.0,0.0,4.4,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
claude-opus-4-8,137,WCDMinimal,36.0,0.6666666666666666,8.0,0.0,1.0023,0.0,2.4,1.0,9.0,0.25,8.0,0.0,8.0,1.0,0.8888888888888888
claude-opus-4-8,137,RuleBlindFull,36.0,0.5555555555555556,8.0,4.0,1.0409,0.0,3.2,1.0,9.0,0.25,5.0,1.0,4.0,0.8888888888888888,0.6666666666666666
